"Date","Price","Open","High","Low","Vol.","Change %"
"06/06/2019","478.55","479.79","480.40","478.77","0.03K","-0.05%"
"06/05/2019","478.79","480.00","480.30","479.39","0.04K","-0.04%"
"06/04/2019","479.00","480.08","481.20","479.50","0.03K","-0.02%"
"06/03/2019","479.08","480.10","480.50","480.00","0.04K","0.00%"
"05/31/2019","479.10","480.25","480.63","479.75","0.03K","-0.03%"
"05/30/2019","479.25","480.30","480.65","478.85","0.05K","-0.01%"
"05/29/2019","479.30","480.15","480.67","479.50","0.04K","0.03%"
"05/28/2019","479.15","480.18","480.59","480.08","0.04K","-0.01%"
"05/27/2019","479.18","480.03","480.59","479.50","0.02K","0.03%"
"05/24/2019","479.03","479.95","480.52","478.75","0.03K","0.02%"
"05/23/2019","478.95","479.62","480.00","478.95","0.03K","0.07%"
"05/22/2019","478.62","479.55","479.82","479.00","0.04K","0.01%"
"05/21/2019","478.55","480.02","480.02","478.75","0.04K","-0.10%"
"05/20/2019","479.02","479.70","480.55","479.35","0.04K","0.07%"
"05/17/2019","478.70","480.10","480.10","478.85","0.03K","-0.08%"
"05/16/2019","479.10","480.50","480.75","479.55","0.05K","-0.08%"
"05/15/2019","479.50","480.80","481.55","479.75","0.04K","-0.06%"
"05/14/2019","479.80","481.32","481.66","480.40","0.04K","-0.11%"
"05/13/2019","480.32","481.40","482.58","481.15","0.04K","-0.17%"
"05/10/2019","481.15","481.96","482.60","481.45","0.03K","0.04%"
"05/09/2019","480.96","481.96","482.48","481.48","0.03K","0.00%"
"05/08/2019","480.96","481.64","482.50","481.25","0.04K","0.07%"
"05/07/2019","480.64","481.28","482.55","481.13","0.25K","0.07%"
"05/06/2019","480.28","480.70","482.30","480.52","0.26K","0.12%"
"05/03/2019","479.70","480.45","481.00","480.20","0.05K","0.05%"
"05/02/2019","479.45","480.45","481.23","480.00","0.04K","0.00%"
"05/01/2019","479.45","480.45","480.48","480.40","0.02K","0.00%"
"04/30/2019","479.45","481.25","481.63","480.00","0.05K","-0.17%"
"04/29/2019","480.25","481.30","481.75","481.05","0.04K","0.05%"
"04/26/2019","480.00","481.75","482.77","481.10","1.47K","0.00%"
"04/25/2019","480.00","481.75","482.79","481.02","1.43K","0.00%"
"04/24/2019","480.00","481.75","482.77","481.25","1.45K","0.00%"
"04/23/2019","480.00","481.75","483.05","481.00","2.34K","0.00%"
"04/22/2019","480.00","482.31","484.75","481.48","1.93K","-0.27%"
"04/19/2019","481.31","482.80","483.50","481.75","0.99K","-0.10%"
"04/18/2019","481.80","483.38","483.69","481.75","1.02K","-0.04%"
"04/17/2019","482.00","484.30","485.25","482.75","1.01K","-0.27%"
"04/16/2019","483.30","486.75","487.00","483.60","1.71K","-0.04%"
"04/15/2019","483.50","485.00","487.05","484.38","2.31K","-0.10%"
"04/12/2019","484.00","486.50","487.45","484.50","2.14K","0.21%"
"04/11/2019","483.00","486.75","487.40","483.08","2.73K","-0.10%"
"04/10/2019","483.50","487.25","487.76","484.60","2.93K","-0.21%"
"04/09/2019","484.50","487.25","488.15","484.95","2.47K","0.00%"
"04/08/2019","484.50","488.00","488.25","486.10","2.44K","-0.21%"
"04/05/2019","485.50","486.75","488.30","486.63","3.72K","0.10%"
"04/04/2019","485.00","486.75","488.30","486.20","4.25K","0.00%"
"04/03/2019","485.00","486.25","488.25","485.23","4.26K","0.10%"
"04/02/2019","484.50","486.75","488.05","484.95","4.51K","0.21%"
"04/01/2019","483.50","486.42","487.75","485.10","3.30K","-0.21%"
"03/29/2019","484.50","486.75","487.75","485.05","4.09K","0.21%"
"03/28/2019","483.50","486.75","487.80","485.05","3.93K","0.00%"
"03/27/2019","483.50","486.75","487.90","485.00","3.86K","0.00%"
"03/26/2019","483.50","486.75","487.60","484.85","3.68K","0.00%"
"03/25/2019","483.50","485.86","487.60","484.92","3.04K","0.00%"
"03/22/2019","483.50","487.00","487.55","484.00","2.65K","-0.10%"
"03/21/2019","484.00","487.00","487.55","485.30","2.36K","0.00%"
"03/20/2019","484.00","487.00","487.65","485.45","1.74K","0.00%"
"03/19/2019","484.00","487.50","487.75","485.50","3.46K","-0.56%"
"03/18/2019","486.75","487.38","488.05","486.25","3.05K","-0.10%"
"03/15/2019","487.25","487.75","488.85","486.75","3.66K","-0.05%"
"03/14/2019","487.50","487.50","488.85","487.00","3.40K","0.00%"
"03/13/2019","487.50","488.50","490.70","487.50","3.46K","-0.10%"
"03/12/2019","488.00","488.00","490.10","488.00","3.43K","0.00%"
"03/11/2019","488.00","490.08","490.08","488.00","2.50K","-0.10%"
"03/08/2019","488.50","488.50","489.58","488.50","1.16K","0.00%"
"03/07/2019","488.50","490.25","490.25","487.50","2.24K","-0.05%"
"03/06/2019","488.75","489.75","490.80","488.25","2.11K","-0.10%"
"03/05/2019","489.25","489.25","490.40","488.75","4.26K","0.00%"
"03/04/2019","489.25","489.90","490.43","488.75","3.11K","-0.15%"
"03/01/2019","490.00","490.50","491.18","489.00","2.55K","0.15%"
"02/28/2019","489.25","487.75","490.15","487.75","2.39K","0.15%"
"02/27/2019","488.50","488.50","490.30","487.50","2.45K","0.00%"
"02/26/2019","488.50","488.50","489.50","487.50","1.72K","0.00%"
"02/25/2019","488.50","489.20","489.40","487.00","1.87K","0.05%"
"02/22/2019","488.25","488.25","489.46","487.25","3.18K","0.10%"
"02/21/2019","487.75","487.25","488.95","486.75","3.87K","0.00%"
"02/20/2019","487.75","487.75","488.95","486.25","3.17K","0.00%"
"02/19/2019","487.75","487.75","489.05","487.25","2.95K","0.00%"
"02/18/2019","487.75","488.76","488.76","487.75","2.52K","0.10%"
