"Date","Price","Open","High","Low","Vol.","Change %"
"12/26/2011","502.870","496.980","503.750","496.440","","0.39%"
"12/23/2011","500.910","497.820","502.560","496.980","","0.15%"
"12/22/2011","500.140","498.320","503.050","496.480","","0.11%"
"12/21/2011","499.585","498.310","504.855","497.480","","-0.09%"
"12/20/2011","500.060","495.300","501.960","494.190","","0.73%"
"12/19/2011","496.425","497.030","498.985","493.850","","-0.34%"
"12/16/2011","498.110","496.730","500.630","494.530","","0.00%"
"12/15/2011","498.130","494.540","499.200","492.290","","0.47%"
"12/14/2011","495.795","496.400","499.075","493.170","","-0.43%"
"12/13/2011","497.940","502.420","505.670","495.570","","-1.16%"
"12/12/2011","503.765","511.150","513.755","501.430","","-1.67%"
"12/09/2011","512.320","509.630","514.500","506.860","","0.24%"
"12/08/2011","511.110","514.390","515.910","507.600","","-0.88%"
"12/07/2011","515.635","513.180","517.355","511.930","","0.22%"
"12/06/2011","514.525","512.130","515.405","509.950","","0.19%"
"12/05/2011","513.525","510.530","517.235","509.050","","0.17%"
"12/02/2011","512.630","511.560","518.240","509.720","","-0.04%"
"12/01/2011","512.825","510.640","515.225","509.100","","0.14%"
"11/30/2011","512.120","506.640","515.540","504.370","","0.63%"
"11/29/2011","508.930","508.520","515.170","505.760","","-0.18%"
"11/28/2011","509.870","508.040","513.230","506.950","","0.59%"
"11/25/2011","506.860","510.480","512.890","503.960","","-0.97%"
"11/24/2011","511.840","509.700","514.360","509.300","","0.21%"
"11/23/2011","510.790","517.360","518.900","508.750","","-1.56%"
"11/22/2011","518.900","517.460","521.300","514.440","","-0.02%"
"11/21/2011","519.020","517.960","520.630","514.550","","-0.15%"
"11/18/2011","519.825","514.810","523.245","514.270","","0.69%"
"11/17/2011","516.265","516.790","519.255","512.640","","-0.36%"
"11/16/2011","518.150","519.740","522.750","513.030","","-0.59%"
"11/15/2011","521.230","523.390","525.000","518.210","","-0.69%"
"11/14/2011","524.850","527.390","528.960","520.780","","-0.88%"
"11/11/2011","529.510","519.480","531.120","518.600","","1.34%"
"11/10/2011","522.530","518.740","524.660","510.260","","0.42%"
"11/09/2011","520.360","531.260","532.850","517.890","","-2.31%"
"11/08/2011","532.670","526.210","533.160","519.380","","0.99%"
"11/07/2011","527.430","525.770","529.110","519.040","","0.38%"
"11/04/2011","525.415","522.750","528.345","520.980","","0.15%"
"11/03/2011","524.620","519.670","525.830","515.440","","0.70%"
"11/02/2011","520.990","516.990","524.170","514.720","","0.45%"
"11/01/2011","518.675","523.720","525.445","513.700","","-1.25%"
"10/31/2011","525.215","534.090","536.305","522.660","","-2.05%"
"10/28/2011","536.230","536.000","538.270","534.190","","-0.28%"
"10/27/2011","537.745","519.190","540.055","518.480","","2.04%"
"10/26/2011","527.000","520.200","529.690","519.520","","0.32%"
"10/25/2011","525.335","520.910","527.375","518.930","","0.60%"
"10/24/2011","522.210","518.510","527.270","517.130","","-0.53%"
"10/21/2011","524.995","519.660","525.255","512.490","","0.74%"
"10/20/2011","521.145","514.360","523.715","511.330","","0.12%"
"10/19/2011","520.540","513.800","524.730","513.240","","0.32%"
"10/18/2011","518.880","513.500","521.360","510.700","","0.72%"
"10/17/2011","515.160","519.220","521.810","513.280","","-0.86%"
"10/14/2011","519.620","514.070","520.140","512.170","","0.76%"
"10/13/2011","515.695","515.450","518.525","510.790","","-0.29%"
"10/12/2011","517.180","510.400","518.750","507.890","","1.11%"
"10/11/2011","511.520","510.100","513.240","507.290","","-0.28%"
"10/10/2011","512.940","500.970","515.120","500.260","","2.25%"
"10/07/2011","501.660","502.210","507.230","499.630","","-0.40%"
"10/06/2011","503.680","499.400","503.910","494.510","","0.64%"
"10/05/2011","500.495","499.180","501.945","495.810","","-0.06%"
"10/04/2011","500.795","492.270","501.395","490.930","","1.45%"
"10/03/2011","493.650","495.430","500.820","491.600","","-1.11%"
"09/30/2011","499.185","503.250","506.035","497.100","","-1.26%"
"09/29/2011","505.565","499.820","508.825","499.490","","0.80%"
"09/28/2011","501.565","502.080","507.215","499.970","","-0.38%"
"09/27/2011","503.455","501.180","507.445","499.320","","0.10%"
"09/26/2011","502.955","500.430","503.435","495.030","","0.30%"
"09/23/2011","501.470","501.350","506.810","497.030","","-0.40%"
"09/22/2011","503.465","505.740","508.715","498.480","","-0.84%"
"09/21/2011","507.740","510.330","515.710","504.960","","-0.91%"
"09/20/2011","512.400","509.280","514.070","506.260","","0.12%"
"09/19/2011","511.800","509.210","513.180","506.040","","-0.97%"
"09/16/2011","516.795","517.840","520.035","512.950","","-0.62%"
"09/15/2011","520.010","512.540","521.950","511.050","","1.01%"
