FX,possition,date,name,value
EUR,buy,2024-04-05T06:00:00Z,min_value,420
EUR,buy,2024-04-05T07:00:00Z,mean_value,420
EUR,buy,2024-04-05T07:00:00Z,max_value,420
EUR,buy,2024-04-05T07:00:00Z,min_value,420
EUR,buy,2024-04-05T08:00:00Z,mean_value,420
EUR,buy,2024-04-05T08:00:00Z,max_value,420
EUR,buy,2024-04-05T08:00:00Z,min_value,420
EUR,buy,2024-04-05T09:00:00Z,mean_value,420
EUR,buy,2024-04-05T09:00:00Z,max_value,420
EUR,buy,2024-04-05T09:00:00Z,min_value,420
EUR,buy,2024-04-05T10:00:00Z,mean_value,420
EUR,buy,2024-04-05T10:00:00Z,max_value,420
EUR,buy,2024-04-05T10:00:00Z,min_value,420
EUR,buy,2024-04-05T11:00:00Z,mean_value,420
EUR,buy,2024-04-05T11:00:00Z,max_value,420
EUR,buy,2024-04-05T11:00:00Z,min_value,420
EUR,buy,2024-04-05T12:00:00Z,mean_value,420
EUR,buy,2024-04-05T12:00:00Z,max_value,420
EUR,buy,2024-04-05T12:00:00Z,min_value,420
EUR,buy,2024-04-05T13:00:00Z,mean_value,420
EUR,buy,2024-04-05T13:00:00Z,max_value,420
EUR,buy,2024-04-05T13:00:00Z,min_value,420
EUR,buy,2024-04-05T14:00:00Z,mean_value,420.0357142857143
EUR,buy,2024-04-05T14:00:00Z,max_value,421
EUR,buy,2024-04-05T14:00:00Z,min_value,420
EUR,buy,2024-04-05T15:00:00Z,mean_value,420.5769230769231
EUR,buy,2024-04-05T15:00:00Z,max_value,421
EUR,buy,2024-04-05T15:00:00Z,min_value,420
EUR,buy,2024-04-05T16:00:00Z,mean_value,420.78723404255317
EUR,buy,2024-04-05T16:00:00Z,max_value,421
EUR,buy,2024-04-05T16:00:00Z,min_value,420
EUR,buy,2024-04-05T17:00:00Z,mean_value,420.775
EUR,buy,2024-04-05T17:00:00Z,max_value,421
EUR,buy,2024-04-05T17:00:00Z,min_value,420
EUR,buy,2024-04-05T18:00:00Z,mean_value,420.9142857142857
EUR,buy,2024-04-05T18:00:00Z,max_value,421
EUR,buy,2024-04-05T18:00:00Z,min_value,420
EUR,buy,2024-04-05T19:00:00Z,mean_value,420.90909090909093
EUR,buy,2024-04-05T19:00:00Z,max_value,421
EUR,buy,2024-04-05T19:00:00Z,min_value,420
EUR,buy,2024-04-05T20:00:00Z,mean_value,420.9583333333333
EUR,buy,2024-04-05T20:00:00Z,max_value,421
EUR,buy,2024-04-05T20:00:00Z,min_value,420
EUR,buy,2024-04-05T21:00:00Z,mean_value,421
EUR,buy,2024-04-05T21:00:00Z,max_value,421
EUR,buy,2024-04-05T21:00:00Z,min_value,421
EUR,buy,2024-04-05T22:00:00Z,mean_value,421
EUR,buy,2024-04-05T22:00:00Z,max_value,421
EUR,buy,2024-04-05T22:00:00Z,min_value,421
EUR,buy,2024-04-05T23:00:00Z,mean_value,421
EUR,buy,2024-04-05T23:00:00Z,max_value,421
EUR,buy,2024-04-05T23:00:00Z,min_value,421
EUR,buy,2024-04-06T00:00:00Z,mean_value,421
EUR,buy,2024-04-06T00:00:00Z,max_value,421
EUR,buy,2024-04-06T00:00:00Z,min_value,421
EUR,buy,2024-04-06T11:00:00Z,mean_value,421
EUR,buy,2024-04-06T11:00:00Z,max_value,421
EUR,buy,2024-04-06T11:00:00Z,min_value,421
EUR,buy,2024-04-06T12:00:00Z,mean_value,420.9756097560976
EUR,buy,2024-04-06T12:00:00Z,max_value,421
EUR,buy,2024-04-06T12:00:00Z,min_value,420
EUR,buy,2024-04-06T13:00:00Z,mean_value,421
EUR,buy,2024-04-06T13:00:00Z,max_value,421
EUR,buy,2024-04-06T13:00:00Z,min_value,421
EUR,buy,2024-04-06T14:00:00Z,mean_value,420.94736842105266
EUR,buy,2024-04-06T14:00:00Z,max_value,421
EUR,buy,2024-04-06T14:00:00Z,min_value,420
EUR,buy,2024-04-06T15:00:00Z,mean_value,420.9230769230769
EUR,buy,2024-04-06T15:00:00Z,max_value,421
EUR,buy,2024-04-06T15:00:00Z,min_value,420
EUR,buy,2024-04-06T16:00:00Z,mean_value,420.9512195121951
EUR,buy,2024-04-06T16:00:00Z,max_value,421
EUR,buy,2024-04-06T16:00:00Z,min_value,420
EUR,buy,2024-04-06T17:00:00Z,mean_value,420.94736842105266
EUR,buy,2024-04-06T17:00:00Z,max_value,421
