"Date","Price","Open","High","Low","Vol.","Change %"
"03/16/2012","13.2890","13.2140","13.3020","13.1670","","0.22%"
"03/15/2012","13.2595","13.1460","13.2705","13.1130","","0.59%"
"03/14/2012","13.1815","13.1960","13.2755","13.1300","","-0.60%"
"03/13/2012","13.2605","13.1460","13.2605","13.1120","","0.55%"
"03/12/2012","13.1885","13.2160","13.2515","13.0830","","-0.45%"
"03/09/2012","13.2475","13.2500","13.2885","13.2090","","-0.32%"
"03/08/2012","13.2900","13.1220","13.2970","13.1200","","1.01%"
"03/07/2012","13.1575","13.1260","13.1795","13.0520","","0.00%"
"03/06/2012","13.1575","13.2160","13.2685","13.0900","","-0.75%"
"03/05/2012","13.2570","13.2290","13.3030","13.1980","","-0.23%"
"03/02/2012","13.2875","13.2720","13.3245","13.1870","","-0.18%"
"03/01/2012","13.3110","13.3390","13.4020","13.2010","","-0.51%"
"02/29/2012","13.3790","13.3740","13.4370","13.3130","","-0.17%"
"02/28/2012","13.4020","13.3350","13.4520","13.2980","","0.17%"
"02/27/2012","13.3790","13.3020","13.4420","13.2590","","0.27%"
"02/24/2012","13.3430","13.1130","13.3590","13.0940","","1.48%"
"02/23/2012","13.1485","13.0990","13.1695","13.0560","","0.11%"
"02/22/2012","13.1345","13.0440","13.1475","13.0120","","0.36%"
"02/21/2012","13.0870","13.0430","13.1090","12.9920","","0.06%"
"02/20/2012","13.0790","12.9540","13.0990","12.9300","","0.73%"
"02/17/2012","12.9840","12.9080","13.0370","12.9010","","0.43%"
"02/16/2012","12.9285","12.9270","12.9675","12.7860","","-0.35%"
"02/15/2012","12.9740","12.8790","13.0190","12.8650","","0.69%"
"02/14/2012","12.8845","12.9430","12.9725","12.8380","","-0.75%"
"02/13/2012","12.9815","12.8940","13.0295","12.8760","","0.41%"
"02/10/2012","12.9290","13.0390","13.0780","12.8670","","-1.16%"
"02/09/2012","13.0810","13.0430","13.1390","12.9730","","0.11%"
"02/08/2012","13.0660","13.0030","13.1160","13.0000","","0.11%"
"02/07/2012","13.0520","12.8550","13.0530","12.8310","","1.14%"
"02/06/2012","12.9055","12.8480","12.9155","12.7780","","0.06%"
"02/03/2012","12.8975","12.8450","12.9145","12.7890","","0.00%"
"02/02/2012","12.8980","12.8030","12.9190","12.7240","","0.22%"
"02/01/2012","12.8700","12.7320","12.8730","12.6790","","0.76%"
"01/31/2012","12.7730","12.7140","12.8830","12.7120","","0.29%"
"01/30/2012","12.7365","12.8610","12.8935","12.6820","","-0.99%"
"01/27/2012","12.8645","12.7120","12.8675","12.6600","","0.68%"
"01/26/2012","12.7770","12.6370","12.8550","12.6360","","1.40%"
"01/25/2012","12.6010","12.5540","12.6970","12.5490","","0.11%"
"01/24/2012","12.5875","12.5410","12.6065","12.4730","","0.14%"
"01/23/2012","12.5695","12.3520","12.6075","12.3290","","1.62%"
"01/20/2012","12.3695","12.3560","12.4265","12.2870","","-0.09%"
"01/19/2012","12.3810","12.2910","12.4010","12.2270","","0.53%"
"01/18/2012","12.3160","12.2490","12.3340","12.2270","","0.35%"
"01/17/2012","12.2735","12.2440","12.3605","12.2340","","-0.05%"
"01/16/2012","12.2795","12.1770","12.3005","12.1310","","0.63%"
"01/13/2012","12.2025","12.2880","12.3305","12.1260","","-1.05%"
"01/12/2012","12.3315","12.2160","12.3445","12.0720","","0.84%"
"01/11/2012","12.2290","12.2510","12.2880","12.0670","","-0.55%"
"01/10/2012","12.2970","12.0720","12.3150","11.9990","","1.27%"
"01/09/2012","12.1430","11.9900","12.1440","11.9760","","1.40%"
"01/06/2012","11.9755","11.9490","12.0765","11.8960","","-0.21%"
"01/05/2012","12.0005","12.0320","12.1335","11.9350","","-0.65%"
"01/04/2012","12.0790","12.0780","12.1840","12.0110","","-0.49%"
"01/03/2012","12.1380","11.8890","12.1510","11.8860","","1.74%"
"01/02/2012","11.9305","11.9550","12.0075","11.8800","","-0.48%"
"12/30/2011","11.9880","11.9210","12.0490","11.8580","","-0.12%"
"12/29/2011","12.0025","12.1010","12.1495","11.8630","","-0.98%"
"12/28/2011","12.1210","12.3140","12.3490","12.0880","","-1.39%"
"12/27/2011","12.2915","12.3230","12.4345","12.2070","","-0.56%"
"12/26/2011","12.3610","12.2120","12.3900","12.2120","","0.41%"
"12/23/2011","12.3100","12.1520","12.3620","12.1420","","0.66%"
"12/22/2011","12.2290","12.0350","12.2400","11.9970","","1.34%"
"12/21/2011","12.0675","11.9150","12.1525","11.9100","","0.71%"
"12/20/2011","11.9820","11.8620","11.9820","11.8340","","0.73%"
"12/19/2011","11.8950","11.9010","11.9610","11.8360","","-0.33%"
"12/16/2011","11.9340","11.9930","12.0490","11.8890","","-0.74%"
"12/15/2011","12.0225","11.9430","12.0435","11.8870","","0.24%"
"12/14/2011","11.9940","11.9820","12.0450","11.9290","","-0.12%"
"12/13/2011","12.0085","12.0310","12.1055","11.9730","","-0.46%"
"12/12/2011","12.0635","12.1370","12.2435","12.0170","","-0.88%"
"12/09/2011","12.1710","12.1310","12.2150","12.0700","","0.16%"
"12/08/2011","12.1520","12.2700","12.3080","12.1180","","-1.22%"
"12/07/2011","12.3020","12.2180","12.3740","12.2090","","0.45%"
"12/06/2011","12.2465","12.3760","12.4145","12.1920","","-1.28%"
"12/05/2011","12.4050","12.3380","12.4320","12.2640","","0.41%"
"12/02/2011","12.3545","12.3450","12.4705","12.3090","","-0.21%"
"12/01/2011","12.3805","12.3600","12.4255","12.2670","","-0.23%"
"11/30/2011","12.4085","12.1540","12.4295","12.1020","","1.71%"
"11/29/2011","12.1995","12.1680","12.2835","12.1230","","-0.02%"
"11/28/2011","12.2025","12.1060","12.2635","12.1060","","0.58%"
"11/25/2011","12.1320","12.1530","12.2100","12.0360","","-0.45%"
"11/24/2011","12.1865","12.1300","12.2275","12.1150","","0.39%"
"11/23/2011","12.1395","12.3320","12.3695","12.1030","","-1.83%"
"11/22/2011","12.3655","12.2970","12.4235","12.2430","","0.24%"
"11/21/2011","12.3360","12.3730","12.4180","12.2860","","-0.99%"
"11/18/2011","12.4595","12.3550","12.5045","12.3400","","0.61%"
"11/17/2011","12.3840","12.4820","12.5200","12.3450","","-1.18%"
"11/16/2011","12.5320","12.5210","12.5860","12.3600","","-0.16%"
"11/15/2011","12.5520","12.5640","12.5990","12.4360","","-0.33%"
"11/14/2011","12.5940","12.6060","12.6710","12.4920","","-0.73%"
"11/11/2011","12.6860","12.5070","12.7150","12.4840","","1.25%"
"11/10/2011","12.5300","12.5010","12.6430","12.2560","","-0.12%"
"11/09/2011","12.5455","12.7010","12.7805","12.4570","","-1.47%"
"11/08/2011","12.7330","12.5250","12.7560","12.3940","","1.39%"
"11/07/2011","12.5580","12.4710","12.6020","12.3390","","0.64%"
"11/04/2011","12.4780","12.4110","12.5020","12.3620","","0.43%"
"11/03/2011","12.4240","12.3400","12.4640","12.2000","","0.34%"
"11/02/2011","12.3825","12.2670","12.4385","12.2350","","0.73%"
"11/01/2011","12.2925","12.4860","12.5375","12.1800","","-1.95%"
"10/31/2011","12.5375","12.6980","12.7635","12.4740","","-1.67%"
"10/28/2011","12.7500","12.6160","12.7770","12.5940","","0.43%"
"10/27/2011","12.6950","12.2000","12.7010","12.1910","","3.65%"
"10/26/2011","12.2475","12.2370","12.4495","12.2090","","-0.85%"
"10/25/2011","12.3530","12.2500","12.4230","12.2160","","-0.11%"
"10/24/2011","12.3665","12.0350","12.3875","12.0350","","1.71%"
"10/21/2011","12.1580","11.9920","12.1780","11.8970","","1.01%"
"10/20/2011","12.0360","12.0360","12.1260","11.8670","","-1.21%"
"10/19/2011","12.1830","12.0030","12.2550","11.9920","","0.29%"
"10/18/2011","12.1480","12.0720","12.1490","11.9510","","0.25%"
"10/17/2011","12.1175","12.1190","12.2575","12.0630","","-0.06%"
"10/14/2011","12.1245","11.9680","12.1575","11.9450","","0.94%"
"10/13/2011","12.0110","12.0170","12.0730","11.9120","","-0.41%"
"10/12/2011","12.0600","11.8540","12.0970","11.8210","","1.38%"
"10/11/2011","11.8955","11.8530","11.9765","11.7950","","-0.24%"
"10/10/2011","11.9245","11.6770","11.9515","11.6380","","2.21%"
"10/07/2011","11.6665","11.5670","11.7165","11.5470","","0.51%"
"10/06/2011","11.6070","11.4990","11.6070","11.4490","","0.58%"
"10/05/2011","11.5400","11.4520","11.5500","11.4070","","0.36%"
"10/04/2011","11.4985","11.4250","11.4985","11.3650","","0.16%"
"10/03/2011","11.4805","11.5470","11.6565","11.4030","","-0.96%"
"09/30/2011","11.5920","11.5900","11.6750","11.4990","","-0.52%"
"09/29/2011","11.6530","11.6060","11.7100","11.5570","","-0.25%"
"09/28/2011","11.6820","11.6320","11.7040","11.5780","","0.11%"
"09/27/2011","11.6690","11.4440","11.7410","11.4240","","1.86%"
"09/26/2011","11.4560","11.5180","11.5830","11.3880","","-1.19%"
"09/23/2011","11.5935","11.5480","11.6955","11.4500","","-0.33%"
"09/22/2011","11.6315","11.8440","11.9185","11.5640","","-2.21%"
"09/21/2011","11.8940","11.8520","11.9400","11.7930","","-0.16%"
"09/20/2011","11.9125","11.8790","11.9535","11.7920","","-0.31%"
"09/19/2011","11.9495","12.1850","12.2445","11.8840","","-2.51%"
"09/16/2011","12.2575","12.2640","12.3315","12.1790","","-0.50%"
"09/15/2011","12.3185","12.2460","12.3905","12.1990","","0.13%"
"09/14/2011","12.3020","12.2840","12.3660","12.2000","","-0.24%"
"09/13/2011","12.3310","12.2600","12.3880","12.2270","","0.20%"
"09/12/2011","12.3070","12.2950","12.3950","12.2070","","-0.47%"
"09/09/2011","12.3645","12.4820","12.5905","12.2960","","-1.47%"
"09/08/2011","12.5490","12.5870","12.6730","12.4780","","-1.09%"
"09/07/2011","12.6870","12.4230","12.6870","12.4210","","1.69%"
"09/06/2011","12.4760","12.4910","12.5880","12.4060","","-0.56%"
"09/05/2011","12.5460","12.5470","12.6090","12.3890","","-0.22%"
"09/02/2011","12.5735","12.5950","12.6875","12.5120","","-0.68%"
"09/01/2011","12.6600","12.6610","12.7390","12.5810","","-0.59%"
"08/31/2011","12.7350","12.6370","12.7410","12.6150","","0.38%"
"08/30/2011","12.6865","12.6900","12.7935","12.5870","","-0.45%"
"08/29/2011","12.7435","12.6390","12.7975","12.6390","","0.20%"
"08/26/2011","12.7175","12.8770","12.9315","12.5980","","0.78%"
"08/25/2011","12.6185","12.6240","12.7485","12.5650","","-0.50%"
"08/24/2011","12.6820","12.6110","12.7240","12.5890","","0.03%"
"08/23/2011","12.6780","12.5610","12.7360","12.5550","","0.40%"
"08/22/2011","12.6280","12.4990","12.6560","12.4600","","-0.07%"
"08/19/2011","12.6370","12.5210","12.6750","12.4480","","0.65%"
"08/18/2011","12.5550","12.6820","12.7480","12.4470","","-1.61%"
"08/17/2011","12.7605","12.7480","12.8375","12.6550","","-0.38%"
"08/16/2011","12.8095","12.7870","12.8875","12.6960","","-0.20%"
"08/15/2011","12.8350","12.5290","12.8610","12.3970","","1.92%"
"08/12/2011","12.5930","12.2300","12.6690","12.1710","","2.69%"
"08/11/2011","12.2635","12.4730","12.5865","12.2030","","-0.20%"
"08/10/2011","12.2880","12.6300","12.8540","12.2270","","-2.13%"
"08/09/2011","12.5555","12.8420","12.8705","12.3910","","-5.51%"
"08/08/2011","13.2880","13.0880","13.2880","12.8780","","-0.27%"
