"date","year","month","org_type_clean","org_type_short","count","count_yoy","data_estimated"
"2017-03-01",2017,3,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",2,12,FALSE
"2017-04-01",2017,4,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,12,FALSE
"2017-05-01",2017,5,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,11,FALSE
"2017-06-01",2017,6,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,8,FALSE
"2017-07-01",2017,7,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,3,FALSE
"2017-08-01",2017,8,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,3,FALSE
"2017-09-01",2017,9,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,3,FALSE
"2017-10-01",2017,10,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",1,4,FALSE
"2017-11-01",2017,11,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,4,TRUE
"2017-12-01",2017,12,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",1,5,FALSE
"2018-01-01",2018,1,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,5,FALSE
"2018-02-01",2018,2,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,4,FALSE
"2018-03-01",2018,3,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,2,FALSE
"2018-04-01",2018,4,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",1,3,FALSE
"2018-05-01",2018,5,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,3,FALSE
"2018-06-01",2018,6,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,3,FALSE
"2018-07-01",2018,7,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,3,FALSE
"2018-08-01",2018,8,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,3,FALSE
"2018-09-01",2018,9,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,3,FALSE
"2018-10-01",2018,10,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,2,FALSE
"2018-11-01",2018,11,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,2,FALSE
"2018-12-01",2018,12,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,1,FALSE
"2019-01-01",2019,1,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,1,FALSE
"2019-02-01",2019,2,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,1,FALSE
"2019-03-01",2019,3,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,1,FALSE
