period,partner_region,X_region
2019-12-01,Middle East,393842742.09999996
2020-01-01,Middle East,412265020.50999993
2020-02-01,Middle East,440002766.41999996
2020-03-01,Middle East,436999198.1499999
2020-04-01,Middle East,425798573.2099999
2020-05-01,Middle East,423732194.59000003
2020-06-01,Middle East,425463816.18000007
2020-07-01,Middle East,424446614.6000001
2020-08-01,Middle East,413539454.12
2020-09-01,Middle East,404015272.6500001
2020-10-01,Middle East,395637833.89
2020-11-01,Middle East,396083414.3899999
2020-12-01,Middle East,391950435.44
2021-01-01,Middle East,370650275.23
2021-02-01,Middle East,334118993.84
2021-03-01,Middle East,335819788.92999995
2021-04-01,Middle East,340604285.7699999
2021-05-01,Middle East,341849444.02
2021-06-01,Middle East,335571198.29
2021-07-01,Middle East,334642918.45
2021-08-01,Middle East,337496196.73999995
2021-09-01,Middle East,339120310.2
2021-10-01,Middle East,337052753.53
2021-11-01,Middle East,340332249.3
2021-12-01,Middle East,350667972.94
2022-01-01,Middle East,361139062.3
2022-02-01,Middle East,379044422.1
2022-03-01,Middle East,388568835
2022-04-01,Middle East,404425324.92
2022-05-01,Middle East,441356818.3000001
2022-06-01,Middle East,521219348.95
2022-07-01,Middle East,585594984.19
2022-08-01,Middle East,663101091.616
2022-09-01,Middle East,719115010.293
2022-10-01,Middle East,862741727.8829999
2022-11-01,Middle East,933933267.609
2022-12-01,Middle East,983425354.404
2023-01-01,Middle East,1031248846.054
2023-02-01,Middle East,1138106176.144
2023-03-01,Middle East,1258933906.934
2023-04-01,Middle East,1317132871.6639998
2010-12-01,Other countries,288316075.06
2011-01-01,Other countries,292371318.73
2011-02-01,Other countries,298602913.59999996
2011-03-01,Other countries,304070018.07
2011-04-01,Other countries,314620495.49
2011-05-01,Other countries,325936128.62999994
2011-06-01,Other countries,338294786.89
2011-07-01,Other countries,349981825.39
2011-08-01,Other countries,362051352.96
2011-09-01,Other countries,353713166.1999999
2011-10-01,Other countries,363637898.85999995
2011-11-01,Other countries,380895230.38
2011-12-01,Other countries,352260632.36
2012-01-01,Other countries,353430585.68
2012-02-01,Other countries,369184281.41999996
2012-03-01,Other countries,373221203.71999997
2012-04-01,Other countries,371678382.85999995
2012-05-01,Other countries,384784839.49
2012-06-01,Other countries,386410172.89000005
2012-07-01,Other countries,397206424.52000004
2012-08-01,Other countries,409803693.98
2012-09-01,Other countries,418059734.11
2012-10-01,Other countries,418572771.34999996
2012-11-01,Other countries,412452448.05
2012-12-01,Other countries,414775288.13
2013-01-01,Other countries,416942697.04
2013-02-01,Other countries,414305789.96999997
2013-03-01,Other countries,415882546.518
2013-04-01,Other countries,421937916.918
2013-05-01,Other countries,407818052.298
2013-06-01,Other countries,414824643.94799995
2013-07-01,Other countries,404886741.43499994
2013-08-01,Other countries,399934967.155
2013-09-01,Other countries,400533543.806
2013-10-01,Other countries,401989973.375
2013-11-01,Other countries,402448283.899
2013-12-01,Other countries,401392238.60200006
2014-01-01,Other countries,401364808.9800001
2014-02-01,Other countries,393320934.63500005
2014-03-01,Other countries,394261694.651
2014-04-01,Other countries,384956060.82500005
2014-05-01,Other countries,385521694.4150001
2014-06-01,Other countries,373982918.087
2014-07-01,Other countries,383137896.64
2014-08-01,Other countries,375386797.05799997
2014-09-01,Other countries,364104836.42700005
