"date","code","name","cpi_month"
"2021-03-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",1.002
"2021-04-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",1
"2021-05-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",0.999
"2021-06-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",0.998
"2021-07-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",1.005
"2021-08-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",1.001
"2021-09-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",1
"2021-10-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",1.002
"2021-11-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",1.001
"2021-12-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",1.002
"2021-01-01","07.2.2.4","Քսանյութեր և համանման միջոցներ անձնական փոխադրամիջոցների համար (Կ)",1.003
"2021-02-01","07.2.2.4","Քսանյութեր և համանման միջոցներ անձնական փոխադրամիջոցների համար (Կ)",1.004
"2021-03-01","07.2.2.4","Քսանյութեր և համանման միջոցներ անձնական փոխադրամիջոցների համար (Կ)",1.002
"2021-04-01","07.2.2.4","Քսանյութեր և համանման միջոցներ անձնական փոխադրամիջոցների համար (Կ)",1.025
"2021-05-01","07.2.2.4","Քսանյութեր և համանման միջոցներ անձնական փոխադրամիջոցների համար (Կ)",1.019
"2021-06-01","07.2.2.4","Քսանյութեր և համանման միջոցներ անձնական փոխադրամիջոցների համար (Կ)",1.011
"2021-07-01","07.2.2.4","Քսանյութեր և համանման միջոցներ անձնական փոխադրամիջոցների համար (Կ)",1.005
"2021-08-01","07.2.2.4","Քսանյութեր և համանման միջոցներ անձնական փոխադրամիջոցների համար (Կ)",1.002
"2021-09-01","07.2.2.4","Քսանյութեր և համանման միջոցներ անձնական փոխադրամիջոցների համար (Կ)",1.003
"2021-10-01","07.2.2.4","Քսանյութեր և համանման միջոցներ անձնական փոխադրամիջոցների համար (Կ)",1.003
"2021-11-01","07.2.2.4","Քսանյութեր և համանման միջոցներ անձնական փոխադրամիջոցների համար (Կ)",1.002
"2021-12-01","07.2.2.4","Քսանյութեր և համանման միջոցներ անձնական փոխադրամիջոցների համար (Կ)",1.002
"2022-01-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",0.998367
