"year","hh","indicator","value","total_taxes","pct_growth","value_pct"
2022,"1.10","Պետական տուրք",106820.9610797,1925968.6918365,0.21366718326284984,0.05546349820351508
2022,"1.2","Շահութահարկ",222805.483809,1925968.6918365,0.21366718326284984,0.11568489392033922
2022,"1.3","Եկամտային հարկ",475038.299105,1925968.6918365,0.21366718326284984,0.24664902452387688
2022,"1.4","Ակցիզային հարկ",127499.2956559,1925968.6918365,0.21366718326284984,0.06620008736192047
2022,"1.5","Շրջանառության հարկ",40729.955391,1925968.6918365,0.21366718326284984,0.021147776474062054
2022,"1.6","Բնապահպանական հարկ և բնօգտագործման վճար",95932.0792485,1925968.6918365,0.21366718326284984,0.04980978125715239
2022,"1.7","Մաքսատուրք",56685.83842,1925968.6918365,0.21366718326284984,0.029432377930270214
2022,"1.8","Սոցիալական վճար",64457.260968999995,1925968.6918365,0.21366718326284984,0.03346745003810889
2022,"1.9","Այլ հարկային եկամուտներ",56488.1485112,1925968.6918365,0.21366718326284984,0.029329733526112484
2023,"1.1","ԱԱՀ",165599.3682384,461352.8883371,-0.7604567040509995,0.3589429532679122
2023,"1.10","Պետական տուրք",12572.0506085,461352.8883371,-0.7604567040509995,0.02725039969688862
2023,"1.2","Շահութահարկ",39015.170468,461352.8883371,-0.7604567040509995,0.08456687159503054
2023,"1.3","Եկամտային հարկ",132936.022007,461352.8883371,-0.7604567040509995,0.2881439032194087
2023,"1.4","Ակցիզային հարկ",32517.938054,461352.8883371,-0.7604567040509995,0.07048387227228084
2023,"1.5","Շրջանառության հարկ",12972.176814999999,461352.8883371,-0.7604567040509995,0.0281176885263619
2023,"1.6","Բնապահպանական հարկ և բնօգտագործման վճար",10600.699838,461352.8883371,-0.7604567040509995,0.022977421635332458
2023,"1.7","Մաքսատուրք",16273.890752700001,461352.8883371,-0.7604567040509995,0.03527427954630912
2023,"1.8","Սոցիալական վճար",21390.46188,461352.8883371,-0.7604567040509995,0.04636464281626103
2023,"1.9","Այլ հարկային եկամուտներ",17475.109675500004,461352.8883371,-0.7604567040509995,0.037877967424214634
