"date","nace_2_code","type_arm","type_eng","name_arm","name_eng","wages","wages_corrected","wages_cumulative","employees"
"2018-03-31","M","Ոչ Պետական","Non-public","Մասնագիտական, գիտական և տեխնիկական գործունեություն","Professional, scientific and technical activities",201400,201400,195281.66666666666,12489
"2018-03-31","N","Ոչ Պետական","Non-public","Վարչարարական և օժանդակ գործունեություն","Administrative and support service activities",130783,130783,130209.66666666667,9828
"2018-03-31","O","Ոչ Պետական","Non-public","Պետական կառավարում և պաշտպանություն, պարտադիր սոցիալական ապահովություն","Public administration and defence; compulsory social security",0,0,0,0
"2018-03-31","P","Ոչ Պետական","Non-public","Կրթություն","Education",157814,157814,163466.66666666666,8053
"2018-03-31","Q","Ոչ Պետական","Non-public","Առողջապահություն և բնակչության սոցիալական սպասարկում","Human health and social work activities",154187,154187,148426,15580
"2018-03-31","R","Ոչ Պետական","Non-public","Մշակույթ, զվարճություններ և հանգիստ","Arts, entertainment and recreation",130038,130038,131793.33333333334,6458
"2018-03-31","S","Ոչ Պետական","Non-public","Սպասարկման այլ ծառայություններ","Other service activities",134638,134638,125501,12742
"2018-03-31","58.2, 62, 63.1","Պետական","Public","որից՝  տեղեկատվական  տեխնոլոգիաներ","including: information technologies",355918,355918,366818.3333333333,116
"2018-03-31","72","Պետական","Public","որից՝  գիտական հետազոտություններ և մշակումներ","including: scientific reserch and development",123542,123542,122677.66666666667,5168
"2018-03-31","90-91","Պետական","Public","որից՝  մշակույթ և արվեստ","including: culture and art",105296,105296,NA,NA
"2018-03-31","90-91","Պետական","Public","որից՝  մշակույթ և արվեստ","including: culture and art",NA,NA,NA,NA
"2018-03-31","90-91","Պետական","Public","որից՝  մշակույթ և արվեստ","including: culture and art",NA,NA,NA,NA
"2018-03-31","A","Պետական","Public","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Agriculture, forestry and fishing",116966,116966,116365.66666666667,1410
"2018-03-31","A-S","Պետական","Public","Ընդամենը","Total",140183,140183,140435,206020
"2018-03-31","B","Պետական","Public","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Mining and quarrying",0,0,0,0
"2018-03-31","C","Պետական","Public","Մշակող արդյունաբերություն","Manufacturing",0,0,0,0
"2018-03-31","D","Պետական","Public","Էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում","Electricity, gas, steam and air conditioning supply",307167,307167,309699.3333333333,1796
"2018-03-31","E","Պետական","Public","Ջրամատակարարում, կոյուղի, թափոնների կառավարում
և վերամշակում","Water supply; sewerage, waste management and remediation activities",95881,95881,98517.33333333333,1857
"2018-03-31","F","Պետական","Public","Շինարարություն","Construction",175561,175561,167804.66666666666,196
"2018-03-31","G","Պետական","Public","Մեծածախ և մանրածախ առևտուր, ավտոմեքենաների և մոտոցիկլների նորոգում","Wholesale and retail trade; repair of motor vehicles and motorcycles",0,0,0,0
"2018-03-31","H","Պետական","Public","Փոխադրումներ և պահեստային տնտեսություն","Transportation and storage",174932,174932,174545.66666666666,8149
"2018-03-31","I","Պետական","Public","Կացության և հանրային սննդի կազմակերպում","Accommodation and food service activities",0,0,0,0
"2018-03-31","J","Պետական","Public","Տեղեկատվություն և կապ","Information and communication",177527,177527,181396,1822
"2018-03-31","K","Պետական","Public","Ֆինանսական և ապահովագրական գործունեություն","Financial and insurance activities",403286,403286,384354.6666666667,986
"2018-03-31","L","Պետական","Public","Անշարժ գույքի հետ կապված գործունեություն","Real estate activities",114733,114733,113769,1052
"2018-03-31","M","Պետական","Public","Մասնագիտական, գիտական և տեխնիկական գործունեություն","Professional, scientific and technical activities",147637,147637,141095.33333333334,7265
"2018-03-31","N","Պետական","Public","Վարչարարական և օժանդակ գործունեություն","Administrative and support service activities",129263,129263,122292.66666666667,2155
"2018-03-31","O","Պետական","Public","Պետական կառավարում և պաշտպանություն, պարտադիր սոցիալական ապահովություն","Public administration and defence; compulsory social security",220398,220398,223117,37513
"2018-03-31","P","Պետական","Public","Կրթություն","Education",109009,109009,109042,103576
"2018-03-31","Q","Պետական","Public","Առողջապահություն և բնակչության սոցիալական սպասարկում","Human health and social work activities",131808,131808,132218,28349
"2018-03-31","R","Պետական","Public","Մշակույթ, զվարճություններ և հանգիստ","Arts, entertainment and recreation",105036,105036,103403.33333333333,9621
"2018-03-31","S","Պետական","Public","Սպասարկման այլ ծառայություններ","Other service activities",99799,99799,103969,273
