code,indicator,date,month,year,B_RUB_year_cum,B_RUB,B_RUB_12,levels,USD_RUB,B_USD,B_USD_12,B_USD_year_cum
4.2.1.,Borrowing and Securities Placement,2012-07-01,7,2012,203.9,0.30000000000001137,205.9,3,32.475136363636366,0.009237836498692356,6.97909374056443,6.914112221306304
4.2.1.,Borrowing and Securities Placement,2012-08-01,8,2012,204.2,0.29999999999998295,205.79999999999998,3,31.946304347826086,0.009390757589160626,6.974606455675618,6.923502978895464
4.2.1.,Borrowing and Securities Placement,2012-09-01,9,2012,204.9,0.700000000000017,206.3,3,31.38005,0.022307166495911163,6.990413550375282,6.945810145391376
4.2.1.,Borrowing and Securities Placement,2012-10-01,10,2012,204.9,0,206,3,31.14373913043478,0,6.980812736957795,6.945810145391376
4.2.1.,Borrowing and Securities Placement,2012-11-01,11,2012,205,0.09999999999999432,205.9,3,31.35709090909091,0.0031890713424249043,6.97752326574849,6.9489992167338
4.2.1.,Borrowing and Securities Placement,2012-12-01,12,2012,206.3,1.3000000000000114,206.3,3,30.715,0.042324597102393335,6.9913238138361935,6.991323813836194
4.2.1.,Borrowing and Securities Placement,2013-01-01,1,2013,0.5,0.5,206.70000000000002,3,30.22513043478261,0.016542525799147844,7.004673223297486,0.016542525799147844
4.2.1.,Borrowing and Securities Placement,2013-02-01,2,2013,5.6,5.1,211.8,3,30.21965,0.16876436358462124,7.173437586882107,0.18530688938376907
4.2.1.,Borrowing and Securities Placement,2013-03-01,3,2013,0.6,-5,206.5,3,30.829761904761906,-0.16218094760010812,7.001035997301797,0.023125941783660963
4.2.1.,Borrowing and Securities Placement,2013-04-01,4,2013,0.8,0.20000000000000007,4.3,3,31.334454545454545,0.006382750327115956,0.1410705418387832,0.02950869211077692
4.2.1.,Borrowing and Securities Placement,2013-05-01,5,2013,0.8,0,3.9000000000000226,3,31.359217391304348,0,0.12815148701930246,0.02950869211077692
4.2.1.,Borrowing and Securities Placement,2013-06-01,6,2013,1.2,0.3999999999999999,3.900000000000017,3,32.3538,0.012363308174001197,0.12832142931336052,0.04187200028477812
4.2.1.,Borrowing and Securities Placement,2013-07-01,7,2013,1.4,0.19999999999999996,3.800000000000005,3,32.77173913043478,0.006102819237147594,0.12518641205181574,0.04797481952192571
4.2.1.,Borrowing and Securities Placement,2013-08-01,8,2013,1.7,0.30000000000000004,3.800000000000022,3,33.03122727272727,0.009082314669176689,0.12487796913183179,0.0570571341911024
4.2.1.,Borrowing and Securities Placement,2013-09-01,9,2013,227.1,225.4,228.5,3,32.553333333333335,6.9240221175506855,7.026592920186606,6.981079251741788
4.2.1.,Borrowing and Securities Placement,2013-10-01,10,2013,227.2,0.09999999999999432,228.6,3,32.06852173913043,0.003118322721997285,7.029711242908603,6.984197574463785
4.2.1.,Borrowing and Securities Placement,2013-11-01,11,2013,227.3,0.10000000000002274,228.60000000000002,3,32.75966666666667,0.0030525341120693963,7.0295747056782485,6.9872501085758545
4.2.1.,Borrowing and Securities Placement,2013-12-01,12,2013,227.8,0.5,227.8,3,32.865,0.015213753232922561,7.002463861808777,7.002463861808777
4.2.1.,Borrowing and Securities Placement,2014-01-01,1,2014,0,0,227.3,3,33.781,0,6.985921336009629,0
4.2.1.,Borrowing and Securities Placement,2014-02-01,2,2014,0,0,222.20000000000002,3,35.32195,0,6.817156972425008,0
4.2.1.,Borrowing and Securities Placement,2014-03-01,3,2014,0.1,0.1,227.3,3,36.125190476190475,0.0027681514943404487,6.982106071519456,0.0027681514943404487
4.2.1.,Borrowing and Securities Placement,2014-04-01,4,2014,0.6,0.5,227.60000000000002,3,35.67936363636364,0.014013702853444695,6.989737024045786,0.016781854347785143
4.2.1.,Borrowing and Securities Placement,2014-05-01,5,2014,0.6,0,227.60000000000002,3,34.847272727272724,0,6.989737024045786,0.016781854347785143
4.2.1.,Borrowing and Securities Placement,2014-06-01,6,2014,0.9,0.30000000000000004,227.50000000000003,3,34.38023809523809,0.008725943059758861,6.986099658931543,0.025507797407544004
4.2.1.,Borrowing and Securities Placement,2014-07-01,7,2014,1.2,0.29999999999999993,227.60000000000005,3,34.73823043478261,0.008636018480078268,6.988632858174474,0.034143815887622275
4.2.1.,Borrowing and Securities Placement,2014-08-01,8,2014,1.3,0.10000000000000009,227.40000000000003,3,36.17649047619047,0.0027642261226476627,6.982314769627945,0.03690804201026993
4.2.1.,Borrowing and Securities Placement,2014-09-01,9,2014,1.6,0.30000000000000004,2.3000000000000176,3,38.04282727272727,0.007885849225908313,0.06617850130316749,0.044793891236178246
4.2.1.,Borrowing and Securities Placement,2014-10-01,10,2014,2.2,0.6000000000000001,2.8000000000000234,3,40.97836956521739,0.014641870976469561,0.07770204955763975,0.059435762212647805
4.2.1.,Borrowing and Securities Placement,2014-11-01,11,2014,2.2,0,2.7000000000000006,3,46.413005,0,0.07464951544557037,0.059435762212647805
